"","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se"
"src_subject_id",1,1460,1944.08561643836,551.445632253091,1949.5,1944.08818493151,707.2002,1001,2898,1897,-0.00278822962281004,-1.22729435930565,14.4319917964577
"truncvis",2,1337,8.27973074046372,6.90934565733073,6,7.97945845004669,7.413,0,20,20,0.444594012476929,-1.50580583394602,0.188960581288357
"panss_general_1",3,1307,34.8680183626626,9.33716262011409,34,34.4799426934097,10.3782,16,69,53,0.370569944415035,-0.164888232901197,0.258271883033685
"panss_negative_1",4,1307,19.3114001530222,6.39102070000096,19,19.0902578796562,5.9304,7,40,33,0.313992183372326,-0.215878695368355,0.176779715407414
"panss_positive_1",5,1307,16.9927314460597,5.7425750015428,17,16.7483285577841,5.9304,7,37,30,0.420304510024621,-0.165417850447955,0.15884329313443
"pos_p1_1",6,1307,3.03289977046672,1.46189091448104,3,2.96561604584527,1.4826,1,7,6,0.188991480215651,-0.768738504816191,0.0404368366102465
"pos_p2_1",7,1307,2.68171384850803,1.31564765812169,3,2.58070678127985,1.4826,1,7,6,0.437837783028102,-0.400633681086433,0.0363916547131741
"pos_p3_1",8,1307,2.84583014537108,1.53249258328868,3,2.7712511938873,1.4826,1,7,6,0.195899098602004,-1.16723915746357,0.0423897238726992
"pos_p4_1",9,1307,1.85233358837031,1.01971394307096,1,1.71394460362942,0,1,6,5,0.89264164219194,-0.174036532139043,0.0282059391003112
"pos_p5_1",10,1307,1.8699311400153,1.23374214228988,1,1.63992359121299,0,1,7,6,1.35289146116273,1.06834766264593,0.0341260958206731
"pos_p6_1",11,1307,2.95026778882938,1.35850432525669,3,2.90735434574976,1.4826,1,7,6,0.149003519649655,-0.772172269255245,0.0375770975047197
"pos_p7_1",12,1307,1.75975516449885,1.0398135367258,1,1.58739255014327,0,1,7,6,1.43091498743679,2.14580228936307,0.0287619067012467
"neg_n1_1",13,1307,2.89747513389441,1.33576714482459,3,2.84240687679083,1.4826,1,7,6,0.202928905695352,-0.690913265452425,0.0369481725685272
"neg_n2_1",14,1307,2.97054322876817,1.25168062037683,3,2.96704871060172,1.4826,1,6,5,-0.103792841939708,-0.751618080880041,0.0346222855843916
"neg_n3_1",15,1307,2.29609793420046,1.24947465207378,2,2.16045845272206,1.4826,1,7,6,0.706572599964071,-0.0969170245414213,0.0345612670918665
"neg_n4_1",16,1307,3.0026778882938,1.35029933366585,3,2.94890162368672,1.4826,1,7,6,0.274249882130221,-0.47057426848531,0.037350142195633
"neg_n5_1",17,1307,3.42272379495027,1.40857011096223,3,3.40687679083095,1.4826,1,7,6,0.113154425699384,-0.555441878489184,0.0389619491214064
"neg_n6_1",18,1307,2.50918133129304,1.38283887594812,2,2.36150907354346,1.4826,1,7,6,0.548000152975172,-0.56180414079811,0.0382502067227507
"neg_n7_1",19,1307,2.21270084162204,1.11593263244014,2,2.09837631327603,1.4826,1,6,5,0.559587081916363,-0.375159353193956,0.0308674095166964
"gps_g1_1",20,1306,2.20329249617152,1.2803483249313,2,2.03441682600382,1.4826,1,6,5,0.812426538122373,-0.270768820997586,0.0354288086845193
"gps_g2_1",21,1306,2.67457886676876,1.24512721299227,3,2.59560229445507,1.4826,1,7,6,0.266228274313009,-0.490126090890568,0.0344541973133435
"gps_g3_1",22,1307,2.18209640397858,1.36522133457681,2,2.00191021967526,1.4826,1,6,5,0.773248352234862,-0.637556830489677,0.0377628942736146
"gps_g4_1",23,1307,2.25325172149962,1.08982966488166,2,2.16618911174785,1.4826,1,6,5,0.404601475505341,-0.62307256817194,0.0301453847583858
"gps_g5_1",24,1307,1.69051262433053,0.98769704318333,1,1.53438395415473,0,1,7,6,1.31082392714686,1.24362679398966,0.0273203311957145
"gps_g6_1",25,1307,2.5876052027544,1.38942053988888,3,2.45176695319962,1.4826,1,7,6,0.469484831865561,-0.545504194962648,0.0384322597519883
"gps_g7_1",26,1307,1.95983167559296,1.11482463579812,2,1.80945558739255,1.4826,1,6,5,0.774644506167681,-0.569525081015305,0.0308367616217447
