"","nm","meaning","min","Q1","median","mean","Q3","max","NAs","variance","range","Prop_NAs"
"1","src_subject_id","Subject ID how it's defined in lab/project",1001,1468,1950,1944,2420,2898,0,304092.285331011,1897,0
"2","truncvis","Truncated Visit Number",0,2,6,8.28,18,20,123,47.739057412475,20,8.4
"4","panss_general_1","PANSS General score",16,28,34,34.87,41,69,153,87.1826057944558,53,10.5
"25","panss_negative_1","PANSS Negative score",7,15,19,19.31,23,40,153,40.8451455878407,33,10.5
"46","panss_positive_1","PANSS Positive score",7,13,17,16.99,21,37,153,32.9771676483442,30,10.5
"67","pos_p1_1","P1. Delusions",1,2,3,3.033,4,7,153,2.13712504584221,6,10.5
"88","pos_p2_1","P2. Conceptual Organization",1,2,3,2.682,4,7,153,1.73092876032109,6,10.5
"109","pos_p3_1","P3. Hallucinatory Behavior",1,1,3,2.846,4,7,153,2.34853351783482,6,10.5
"130","pos_p4_1","P4. Excitement",1,1,1,1.852,3,6,153,1.03981652569332,5,10.5
"151","pos_p5_1","P5. Grandiosity",1,1,1,1.87,3,7,153,1.52211967366202,6,10.5
"172","pos_p6_1","P6. Suspiciousness/Persecution",1,2,3,2.95,4,7,153,1.84553400174113,6,10.5
"193","pos_p7_1","P7. Hostility",1,1,1,1.76,2,7,153,1.08121219115822,6,10.5
"214","neg_n1_1","N1. Blunted Affect",1,2,3,2.897,4,7,153,1.78427386519284,6,10.5
"235","neg_n2_1","N2. Emotional Withdrawl",1,2,3,2.971,4,6,153,1.56670437542693,5,10.5
"256","neg_n3_1","N3. Poor Rapport",1,1,2,2.296,3,7,153,1.5611869061749,6,10.5
"277","neg_n4_1","N4. Passive/Apathetic Social Withdrawl",1,2,3,3.003,4,7,153,1.82330829049845,6,10.5
"298","neg_n5_1","N5. Difficulty in Abstract Thinking",1,2,3,3.423,4,7,153,1.98406975749615,6,10.5
"319","neg_n6_1","N6. Lack of Spontaneity and Flow of Conversation",1,1,2,2.509,3,7,153,1.91224335683345,6,10.5
"340","neg_n7_1","N7. Stereotyped Thinking",1,1,2,2.213,3,6,153,1.24530564014477,5,10.5
"361","gps_g1_1","G1. Somatic Concern",1,1,2,2.203,3,6,154,1.63929183315438,5,10.5
"382","gps_g2_1","G2. Anxiety",1,2,3,2.675,3,7,154,1.55034177653389,6,10.5
"403","gps_g3_1","G3. Guilt Feelings",1,1,2,2.182,3,6,153,1.86382929238369,5,10.5
"424","gps_g4_1","G4. Tension",1,1,2,2.253,3,6,153,1.18772869845607,5,10.5
"445","gps_g5_1","G5. Mannerisms and Posturing",1,1,1,1.691,2,7,153,0.975545449113092,6,10.5
"466","gps_g6_1","G6. Depression",1,1,3,2.588,3,7,153,1.9304894366651,6,10.5
"487","gps_g7_1","G7. Motor Retardation",1,1,2,1.96,3,6,153,1.24283396858241,5,10.5
"508","gps_g8_1","G8. Uncooperativeness",1,1,1,1.476,2,6,153,0.71302949953777,5,10.5
"529","gps_g9_1","G9. Unusual Thought Content",1,1,3,2.477,3,7,153,1.50866110272054,6,10.5
"550","gps_g10_1","G10. Disorientation",1,1,1,1.675,2,5,153,0.828715035425925,4,10.5
"571","gps_g11_1","G11. Poor Attention",1,1,2,2.076,3,7,153,1.23443737397053,6,10.5
"592","gps_g12_1","G12. Lack of Judgement and Insight",1,1,3,2.747,4,7,153,1.95381067429356,6,10.5
"613","gps_g13_1","G13. Disturbance of Volition",1,1,2,2.098,3,5,154,1.26663204895766,4,10.5
"634","gps_g14_1","G14. Poor Impulse Control",1,1,1,1.77,3,5,154,0.947576466998762,4,10.5
"655","gps_g15_1","G15. Preoccupation",1,1,2,2.231,3,6,153,1.3680992089948,5,10.5
"676","gps_g16_1","G16. Active Social Avoidance",1,2,3,2.768,3,7,154,1.82198004494435,6,10.5
"697","b1_ppos_1","Phase 1 Baseline PANSS Positive Scale Score",7,14,18,18.39,22,38,154,31.3731448721785,31,10.5
"718","b1_pneg_1","Phase 1 Baseline PANSS Negative Scale Score",7,16,20,20.25,25,41,154,40.6069910169979,34,10.5
"739","b1_ppsy_1","Phase 1 Baseline PANSS  Psychopathology Score",16,30,37,37,43,70,154,84.7892626427981,54,10.5
"760","cut_pans_1","Cutpoints for Derived PANSS Total Score",1,2,3,2.583,3,5,153,0.864657674367378,4,10.5
"781","cut_pos_1","Cutpoints for Derived PANSS Positive Scale",1,1,2,2.011,3,4,153,0.654938773549423,3,10.5
"802","cut_neg_1","Cutpoints for Derived PANSS Negative Scale",1,2,2,2.311,3,4,153,0.782741299938721,3,10.5
"823","cut_gen_1","Cutpoints for Derived PANSS General Psyc",1,1,2,2.064,3,4,153,0.823967363858877,3,10.5
"844","c1_panss_1","Phase 1 CFB PANSS Total",-58,-11,-4,-4.472,2,61,154,149.832913226899,119,10.5
"865","c1_ppos_1","Phase 1 CFB PANSS Positive Scale Score",-17,-4,-1,-1.398,1,17,154,17.6724931498008,34,10.5
"886","c1_pneg_1","Phase 1 CFB PANSS Negative Scale Score",-23,-3,-1,-0.9426,2,20,154,20.1143241039001,43,10.5
"907","c1_ppsy_1","Phase 1 CFB PANSS Psychopathology Scale",-27,-6,-2,-2.133,2,35,154,48.3465140260396,62,10.5
"962","b1_panss_1","Phase 1 Baseline PANSS Total",31,64,75,75.63,87,133,154,303.069615039341,102,10.5
"964","cs01_1","1. Patient Version Clinical Global Impre",1,2,3,3.271,4,7,159,2.38824661502986,6,10.9
"986","cs02a_1","2a. Energy and interest",1,3,4,3.811,5,6,185,2.49446332379105,5,12.7
"1030","cs02b_1","2b. Social relations",1,2,3,3.316,5,6,186,2.7651897395613,5,12.7
"1074","cs02c_1","2c. Disturbing and unusual experiences",1,2,4,3.572,5,6,186,3.6112948744668,5,12.7
"1118","cs02d_1","2d. Confusion and difficulty concentrati",1,2,4,3.776,5,6,186,2.5367603443577,5,12.7
"1162","cs02e_1","2e. Medication side effects",1,2,3,3.137,5,6,186,2.94183938606562,5,12.7
"1206","cs02f_1","2f. Productive activities",1,2,3,3.387,5,6,186,2.7958260317844,5,12.7
"1250","cs03_1","3. Patient reported mental/emo health",1,50,70,64.78,80,100,171,642.438067089419,99,11.7
"1272","cs04_1","4. Illness info received last 3 months",1,2,3,2.948,4,4,162,1.01275374129941,3,11.1
"1294","cs05_1","5. Satisfaction w/ providers last 3 mo.",1,3,4,3.379,4,4,160,0.648221116835435,3,11
"1316","cs06_1","6. Tobacco products (e.g. cigarettes)",0,0,1,0.6552,1,1,152,0.22608618846063,1,10.4
